x,y,timestamp
0.000000,0.000000,2023-01-01T07:30:44
0.111192,0.000000,2023-01-01T07:30:45
0.111192,0.000000,2023-01-01T07:30:46
0.222385,0.111195,2023-01-01T07:30:47
0.333577,0.111195,2023-01-01T07:30:48
0.333577,0.111195,2023-01-01T07:30:49
0.444769,0.222390,2023-01-01T07:30:50
0.444769,0.222390,2023-01-01T07:30:51
0.555961,0.222390,2023-01-01T07:30:52
0.555961,0.333585,2023-01-01T07:30:53
0.667154,0.333585,2023-01-01T07:30:54
0.667154,0.333585,2023-01-01T07:30:55
0.778346,0.444780,2023-01-01T07:30:56
0.778346,0.444780,2023-01-01T07:30:57
0.889538,0.444780,2023-01-01T07:30:58
0.889538,0.555975,2023-01-01T07:30:59
1.000731,0.555975,2023-01-01T07:31:00
1.000731,0.555975,2023-01-01T07:31:01
1.111923,0.667170,2023-01-01T07:31:02
1.111923,0.667170,2023-01-01T07:31:03
1.111923,0.667170,2023-01-01T07:31:04
1.223115,0.778364,2023-01-01T07:31:05
1.223115,0.778364,2023-01-01T07:31:06
1.334307,0.778364,2023-01-01T07:31:07
1.334307,0.778364,2023-01-01T07:31:08
1.334307,0.889559,2023-01-01T07:31:09
1.445500,0.889559,2023-01-01T07:31:10
1.445500,0.889559,2023-01-01T07:31:11
1.445500,1.000754,2023-01-01T07:31:12
1.556692,1.000754,2023-01-01T07:31:13
1.667884,1.111949,2023-01-01T07:31:14
1.667884,1.111949,2023-01-01T07:31:15
1.779076,1.223144,2023-01-01T07:31:16
1.890269,1.223144,2023-01-01T07:31:17
1.890269,1.334339,2023-01-01T07:31:18
2.001461,1.334339,2023-01-01T07:31:19
2.001461,1.445534,2023-01-01T07:31:20
2.112653,1.445534,2023-01-01T07:31:21
2.112653,1.556729,2023-01-01T07:31:22
2.223846,1.556729,2023-01-01T07:31:23
2.223846,1.667924,2023-01-01T07:31:24
2.335038,1.667924,2023-01-01T07:31:25
2.335038,1.779119,2023-01-01T07:31:26
2.446230,1.779119,2023-01-01T07:31:27
2.446230,1.890314,2023-01-01T07:31:28
2.557422,1.890314,2023-01-01T07:31:29
2.668615,1.890314,2023-01-01T07:31:30
2.668615,2.001509,2023-01-01T07:31:31
2.779807,2.001509,2023-01-01T07:31:32
2.779807,2.112704,2023-01-01T07:31:33
2.779807,2.112704,2023-01-01T07:31:34
2.890999,2.112704,2023-01-01T07:31:35
2.890999,2.223899,2023-01-01T07:31:36
3.002192,2.223899,2023-01-01T07:31:37
3.002192,2.335093,2023-01-01T07:31:38
3.113384,2.335093,2023-01-01T07:31:39
3.113384,2.446288,2023-01-01T07:31:40
3.113384,2.446288,2023-01-01T07:31:41
3.224576,2.446288,2023-01-01T07:31:42
3.224576,2.557483,2023-01-01T07:31:43
3.335768,2.557483,2023-01-01T07:31:44
3.335768,2.668678,2023-01-01T07:31:45
3.446961,2.668678,2023-01-01T07:31:46
3.446961,2.668678,2023-01-01T07:31:47
3.558153,2.779873,2023-01-01T07:31:48
3.558153,2.779873,2023-01-01T07:31:49
3.669345,2.891068,2023-01-01T07:31:50
3.669345,2.891068,2023-01-01T07:31:51
3.780538,3.002263,2023-01-01T07:31:52
3.780538,3.002263,2023-01-01T07:31:53
3.891730,3.002263,2023-01-01T07:31:54
3.891730,3.113458,2023-01-01T07:31:55
4.002922,3.113458,2023-01-01T07:31:56
4.002922,3.224653,2023-01-01T07:31:57
4.114114,3.224653,2023-01-01T07:31:58
4.114114,3.224653,2023-01-01T07:31:59
4.114114,3.335848,2023-01-01T07:32:00
4.225307,3.335848,2023-01-01T07:32:01
4.225307,3.335848,2023-01-01T07:32:02
4.336499,3.447043,2023-01-01T07:32:03
4.336499,3.447043,2023-01-01T07:32:04
4.447691,3.447043,2023-01-01T07:32:05
4.447691,3.558238,2023-01-01T07:32:06
4.558884,3.558238,2023-01-01T07:32:07
4.558884,3.669433,2023-01-01T07:32:08
4.670076,3.669433,2023-01-01T07:32:09
4.670076,3.669433,2023-01-01T07:32:10
4.781268,3.780628,2023-01-01T07:32:11
4.781268,3.780628,2023-01-01T07:32:12
4.781268,3.780628,2023-01-01T07:32:13
4.892460,3.891822,2023-01-01T07:32:14
4.892460,3.891822,2023-01-01T07:32:15
5.003653,3.891822,2023-01-01T07:32:16
5.003653,3.891822,2023-01-01T07:32:17
5.114845,4.003017,2023-01-01T07:32:18
5.114845,4.003017,2023-01-01T07:32:19
5.226037,4.003017,2023-01-01T07:32:20
5.226037,4.114212,2023-01-01T07:32:21
5.226037,4.114212,2023-01-01T07:32:22
5.337229,4.114212,2023-01-01T07:32:23
5.337229,4.225407,2023-01-01T07:32:24
5.448422,4.225407,2023-01-01T07:32:25
5.448422,4.225407,2023-01-01T07:32:26
5.559614,4.225407,2023-01-01T07:32:27
5.559614,4.336602,2023-01-01T07:32:28
5.670806,4.336602,2023-01-01T07:32:29
5.670806,4.336602,2023-01-01T07:32:30
5.781999,4.336602,2023-01-01T07:32:31
5.781999,4.447797,2023-01-01T07:32:32
5.893191,4.447797,2023-01-01T07:32:33
5.893191,4.447797,2023-01-01T07:32:34
5.893191,4.558992,2023-01-01T07:32:35
6.004383,4.558992,2023-01-01T07:32:36
6.004383,4.558992,2023-01-01T07:32:37
6.115575,4.558992,2023-01-01T07:32:38
6.115575,4.670187,2023-01-01T07:32:39
6.226768,4.670187,2023-01-01T07:32:40
6.226768,4.670187,2023-01-01T07:32:41
6.226768,4.670187,2023-01-01T07:32:42
6.337960,4.781382,2023-01-01T07:32:43
6.337960,4.781382,2023-01-01T07:32:44
6.449152,4.781382,2023-01-01T07:32:45
6.449152,4.892577,2023-01-01T07:32:46
6.560345,4.892577,2023-01-01T07:32:47
6.560345,4.892577,2023-01-01T07:32:48
6.671537,5.003772,2023-01-01T07:32:49
6.671537,5.003772,2023-01-01T07:32:50
6.671537,5.003772,2023-01-01T07:32:51
6.782729,5.114967,2023-01-01T07:32:52
6.782729,5.114967,2023-01-01T07:32:53
6.893921,5.114967,2023-01-01T07:32:54
6.893921,5.114967,2023-01-01T07:32:55
7.005114,5.226162,2023-01-01T07:32:56
7.005114,5.226162,2023-01-01T07:32:57
7.005114,5.226162,2023-01-01T07:32:58
7.116306,5.337356,2023-01-01T07:32:59
7.116306,5.337356,2023-01-01T07:33:00
7.227498,5.337356,2023-01-01T07:33:01
7.227498,5.337356,2023-01-01T07:33:02
7.227498,5.448551,2023-01-01T07:33:03
7.338691,5.448551,2023-01-01T07:33:04
7.338691,5.448551,2023-01-01T07:33:05
7.338691,5.559746,2023-01-01T07:33:06
7.449883,5.559746,2023-01-01T07:33:07
7.449883,5.559746,2023-01-01T07:33:08
7.561075,5.559746,2023-01-01T07:33:09
7.561075,5.670941,2023-01-01T07:33:10
7.561075,5.670941,2023-01-01T07:33:11
7.672267,5.670941,2023-01-01T07:33:12
7.672267,5.670941,2023-01-01T07:33:13
7.672267,5.782136,2023-01-01T07:33:14
7.783460,5.782136,2023-01-01T07:33:15
7.783460,5.782136,2023-01-01T07:33:16
7.783460,5.782136,2023-01-01T07:33:17
7.894652,5.782136,2023-01-01T07:33:18
7.894652,5.893331,2023-01-01T07:33:19
7.894652,5.893331,2023-01-01T07:33:20
8.005844,5.893331,2023-01-01T07:33:21
8.005844,5.893331,2023-01-01T07:33:22
8.005844,5.893331,2023-01-01T07:33:23
8.117037,6.004526,2023-01-01T07:33:24
8.117037,6.004526,2023-01-01T07:33:25
8.117037,6.004526,2023-01-01T07:33:26
8.228229,6.004526,2023-01-01T07:33:27
8.228229,6.004526,2023-01-01T07:33:28
8.228229,6.115721,2023-01-01T07:33:29
8.339421,6.115721,2023-01-01T07:33:30
8.339421,6.115721,2023-01-01T07:33:31
8.339421,6.115721,2023-01-01T07:33:32
8.450613,6.115721,2023-01-01T07:33:33
8.450613,6.226916,2023-01-01T07:33:34
8.450613,6.226916,2023-01-01T07:33:35
8.561806,6.226916,2023-01-01T07:33:36
8.561806,6.226916,2023-01-01T07:33:37
8.561806,6.226916,2023-01-01T07:33:38
8.672998,6.226916,2023-01-01T07:33:39
8.672998,6.338111,2023-01-01T07:33:40
8.672998,6.338111,2023-01-01T07:33:41
8.784190,6.338111,2023-01-01T07:33:42
8.784190,6.338111,2023-01-01T07:33:43
8.784190,6.338111,2023-01-01T07:33:44
8.895382,6.338111,2023-01-01T07:33:45
8.895382,6.338111,2023-01-01T07:33:46
8.895382,6.338111,2023-01-01T07:33:47
9.006575,6.338111,2023-01-01T07:33:48
9.006575,6.338111,2023-01-01T07:33:49
9.006575,6.338111,2023-01-01T07:33:50
9.006575,6.338111,2023-01-01T07:33:51
9.117767,6.338111,2023-01-01T07:33:52
9.117767,6.338111,2023-01-01T07:33:53
9.117767,6.338111,2023-01-01T07:33:54
9.117767,6.338111,2023-01-01T07:33:55
9.228959,6.338111,2023-01-01T07:33:56
9.228959,6.338111,2023-01-01T07:33:57
9.228959,6.338111,2023-01-01T07:33:58
9.228959,6.338111,2023-01-01T07:33:59
9.340152,6.338111,2023-01-01T07:34:00
9.340152,6.449306,2023-01-01T07:34:01
9.340152,6.449306,2023-01-01T07:34:02
9.340152,6.449306,2023-01-01T07:34:03
9.340152,6.449306,2023-01-01T07:34:04
9.340152,6.449306,2023-01-01T07:34:05
9.451344,6.449306,2023-01-01T07:34:06
9.451344,6.449306,2023-01-01T07:34:07
9.451344,6.449306,2023-01-01T07:34:08
9.451344,6.449306,2023-01-01T07:34:09
9.451344,6.449306,2023-01-01T07:34:10
9.562536,6.449306,2023-01-01T07:34:11
9.562536,6.449306,2023-01-01T07:34:12
9.562536,6.560501,2023-01-01T07:34:13
9.562536,6.560501,2023-01-01T07:34:14
9.562536,6.560501,2023-01-01T07:34:15
9.673728,6.560501,2023-01-01T07:34:16
9.673728,6.671696,2023-01-01T07:34:17
9.673728,6.671696,2023-01-01T07:34:18
9.673728,6.671696,2023-01-01T07:34:19
9.784921,6.671696,2023-01-01T07:34:20
9.784921,6.671696,2023-01-01T07:34:21
9.784921,6.782891,2023-01-01T07:34:22
9.896113,6.782891,2023-01-01T07:34:23
9.896113,6.782891,2023-01-01T07:34:24
9.896113,6.782891,2023-01-01T07:34:25
9.896113,6.782891,2023-01-01T07:34:26
10.007305,6.894085,2023-01-01T07:34:27
10.007305,6.894085,2023-01-01T07:34:28
10.007305,6.894085,2023-01-01T07:34:29
10.118498,6.894085,2023-01-01T07:34:30
10.118498,6.894085,2023-01-01T07:34:31
10.229690,6.894085,2023-01-01T07:34:32
10.229690,6.894085,2023-01-01T07:34:33
10.340882,6.894085,2023-01-01T07:34:34
10.452074,6.894085,2023-01-01T07:34:35
10.563267,6.894085,2023-01-01T07:34:36
10.563267,6.894085,2023-01-01T07:34:37
10.674459,6.782891,2023-01-01T07:34:38
10.785651,6.782891,2023-01-01T07:34:39
10.896844,6.782891,2023-01-01T07:34:40
11.008036,6.782891,2023-01-01T07:34:41
11.119228,6.782891,2023-01-01T07:34:42
11.230420,6.671696,2023-01-01T07:34:43
11.341613,6.671696,2023-01-01T07:34:44
11.452805,6.671696,2023-01-01T07:34:45
11.563997,6.671696,2023-01-01T07:34:46
11.563997,6.671696,2023-01-01T07:34:47
11.675190,6.671696,2023-01-01T07:34:48
11.786382,6.560501,2023-01-01T07:34:49
11.897574,6.560501,2023-01-01T07:34:50
12.008766,6.560501,2023-01-01T07:34:51
12.119959,6.560501,2023-01-01T07:34:52
12.231151,6.560501,2023-01-01T07:34:53
12.342343,6.449306,2023-01-01T07:34:54
12.453536,6.449306,2023-01-01T07:34:55
12.564728,6.449306,2023-01-01T07:34:56
12.675920,6.449306,2023-01-01T07:34:57
12.787112,6.449306,2023-01-01T07:34:58
12.898305,6.338111,2023-01-01T07:34:59
13.120689,6.338111,2023-01-01T07:35:00
13.231881,6.338111,2023-01-01T07:35:01
13.343074,6.226916,2023-01-01T07:35:02
13.454266,6.226916,2023-01-01T07:35:03
13.565458,6.226916,2023-01-01T07:35:04
13.676651,6.226916,2023-01-01T07:35:05
13.787843,6.115721,2023-01-01T07:35:06
14.010227,6.115721,2023-01-01T07:35:07
14.121420,6.115721,2023-01-01T07:35:08
14.232612,6.004526,2023-01-01T07:35:09
14.454997,6.004526,2023-01-01T07:35:10
14.566189,5.893331,2023-01-01T07:35:11
14.788573,5.893331,2023-01-01T07:35:12
14.788573,5.893331,2023-01-01T07:35:13
14.788573,5.893331,2023-01-01T07:35:14
14.899766,5.893331,2023-01-01T07:35:15
14.899766,5.893331,2023-01-01T07:35:16
15.010958,6.004526,2023-01-01T07:35:17
15.010958,6.004526,2023-01-01T07:35:18
15.122150,6.004526,2023-01-01T07:35:19
15.122150,6.004526,2023-01-01T07:35:20
15.233343,6.004526,2023-01-01T07:35:21
15.233343,6.004526,2023-01-01T07:35:22
15.233343,6.004526,2023-01-01T07:35:23
15.344535,6.004526,2023-01-01T07:35:24
15.344535,6.115721,2023-01-01T07:35:25
15.455727,6.115721,2023-01-01T07:35:26
15.455727,6.115721,2023-01-01T07:35:27
15.566919,6.115721,2023-01-01T07:35:28
15.566919,6.115721,2023-01-01T07:35:29
15.678112,6.115721,2023-01-01T07:35:30
15.678112,6.115721,2023-01-01T07:35:31
15.789304,6.115721,2023-01-01T07:35:32
15.789304,6.226916,2023-01-01T07:35:33
15.900496,6.226916,2023-01-01T07:35:34
15.900496,6.226916,2023-01-01T07:35:35
16.011688,6.226916,2023-01-01T07:35:36
16.011688,6.226916,2023-01-01T07:35:37
16.122881,6.226916,2023-01-01T07:35:38
16.122881,6.226916,2023-01-01T07:35:39
16.122881,6.226916,2023-01-01T07:35:40
16.234073,6.338111,2023-01-01T07:35:41
16.234073,6.338111,2023-01-01T07:35:42
