x,y,timestamp
0.000000,0.000000,2023-01-01T00:32:04
-0.111192,-0.111195,2023-01-01T00:32:05
-0.222385,-0.111195,2023-01-01T00:32:06
-0.222385,-0.111195,2023-01-01T00:32:07
-0.333577,-0.222390,2023-01-01T00:32:08
-0.333577,-0.222390,2023-01-01T00:32:09
-0.333577,-0.222390,2023-01-01T00:32:10
-0.444769,-0.222390,2023-01-01T00:32:11
-0.444769,-0.333585,2023-01-01T00:32:12
-0.555961,-0.333585,2023-01-01T00:32:13
-0.555961,-0.333585,2023-01-01T00:32:14
-0.555961,-0.333585,2023-01-01T00:32:15
-0.667154,-0.444780,2023-01-01T00:32:16
-0.667154,-0.444780,2023-01-01T00:32:17
-0.778346,-0.444780,2023-01-01T00:32:18
-0.778346,-0.444780,2023-01-01T00:32:19
-0.778346,-0.444780,2023-01-01T00:32:20
-0.778346,-0.444780,2023-01-01T00:32:21
-0.889538,-0.555975,2023-01-01T00:32:22
-0.889538,-0.555975,2023-01-01T00:32:23
-0.889538,-0.555975,2023-01-01T00:32:24
-1.000731,-0.555975,2023-01-01T00:32:25
-1.000731,-0.555975,2023-01-01T00:32:26
-1.000731,-0.555975,2023-01-01T00:32:27
-1.000731,-0.667170,2023-01-01T00:32:28
-1.111923,-0.667170,2023-01-01T00:32:29
-1.111923,-0.667170,2023-01-01T00:32:30
-1.111923,-0.667170,2023-01-01T00:32:31
-1.111923,-0.667170,2023-01-01T00:32:32
-1.223115,-0.667170,2023-01-01T00:32:33
-1.223115,-0.778364,2023-01-01T00:32:34
-1.223115,-0.778364,2023-01-01T00:32:35
-1.223115,-0.778364,2023-01-01T00:32:36
-1.334307,-0.778364,2023-01-01T00:32:37
-1.334307,-0.778364,2023-01-01T00:32:38
-1.334307,-0.889559,2023-01-01T00:32:39
-1.334307,-0.889559,2023-01-01T00:32:40
-1.445500,-0.889559,2023-01-01T00:32:41
-1.445500,-0.889559,2023-01-01T00:32:42
-1.445500,-0.889559,2023-01-01T00:32:43
-1.445500,-1.000754,2023-01-01T00:32:44
-1.445500,-1.000754,2023-01-01T00:32:45
-1.556692,-1.000754,2023-01-01T00:32:46
-1.556692,-1.000754,2023-01-01T00:32:47
-1.556692,-1.111949,2023-01-01T00:32:48
-1.667884,-1.111949,2023-01-01T00:32:49
-1.667884,-1.111949,2023-01-01T00:32:50
-1.779076,-1.111949,2023-01-01T00:32:51
-1.779076,-1.223144,2023-01-01T00:32:52
-1.779076,-1.223144,2023-01-01T00:32:53
-1.890269,-1.223144,2023-01-01T00:32:54
-1.890269,-1.223144,2023-01-01T00:32:55
-2.001461,-1.334339,2023-01-01T00:32:56
-2.001461,-1.334339,2023-01-01T00:32:57
-2.001461,-1.334339,2023-01-01T00:32:58
-2.112653,-1.334339,2023-01-01T00:32:59
-2.112653,-1.445534,2023-01-01T00:33:00
-2.112653,-1.445534,2023-01-01T00:33:01
-2.223846,-1.445534,2023-01-01T00:33:02
-2.223846,-1.445534,2023-01-01T00:33:03
-2.223846,-1.556729,2023-01-01T00:33:04
-2.223846,-1.556729,2023-01-01T00:33:05
-2.335038,-1.556729,2023-01-01T00:33:06
-2.335038,-1.556729,2023-01-01T00:33:07
-2.335038,-1.556729,2023-01-01T00:33:08
-2.335038,-1.556729,2023-01-01T00:33:09
-2.446230,-1.667924,2023-01-01T00:33:10
-2.446230,-1.667924,2023-01-01T00:33:11
-2.446230,-1.667924,2023-01-01T00:33:12
-2.446230,-1.667924,2023-01-01T00:33:13
-2.446230,-1.667924,2023-01-01T00:33:14
-2.446230,-1.667924,2023-01-01T00:33:15
-2.557422,-1.667924,2023-01-01T00:33:16
-2.557422,-1.779119,2023-01-01T00:33:17
-2.557422,-1.779119,2023-01-01T00:33:18
-2.557422,-1.779119,2023-01-01T00:33:19
-2.668615,-1.779119,2023-01-01T00:33:20
-2.668615,-1.779119,2023-01-01T00:33:21
-2.668615,-1.890314,2023-01-01T00:33:22
-2.668615,-1.890314,2023-01-01T00:33:23
-2.668615,-1.890314,2023-01-01T00:33:24
-2.668615,-1.890314,2023-01-01T00:33:25
-2.668615,-2.001509,2023-01-01T00:33:26
-2.779807,-2.001509,2023-01-01T00:33:27
-2.779807,-2.001509,2023-01-01T00:33:28
-2.779807,-2.001509,2023-01-01T00:33:29
-2.779807,-2.001509,2023-01-01T00:33:30
-2.779807,-2.001509,2023-01-01T00:33:31
-2.779807,-2.001509,2023-01-01T00:33:32
-2.779807,-2.001509,2023-01-01T00:33:33
-2.779807,-2.001509,2023-01-01T00:33:34
-2.890999,-2.112704,2023-01-01T00:33:35
-2.890999,-2.112704,2023-01-01T00:33:36
-2.890999,-2.112704,2023-01-01T00:33:37
-2.890999,-2.112704,2023-01-01T00:33:38
-2.890999,-2.112704,2023-01-01T00:33:39
-2.890999,-2.112704,2023-01-01T00:33:40
-2.890999,-2.112704,2023-01-01T00:33:41
-2.890999,-2.112704,2023-01-01T00:33:42
-2.890999,-2.112704,2023-01-01T00:33:43
-2.890999,-2.112704,2023-01-01T00:33:44
-3.002192,-2.112704,2023-01-01T00:33:45
-3.002192,-2.112704,2023-01-01T00:33:46
-3.002192,-2.223899,2023-01-01T00:33:47
-3.002192,-2.223899,2023-01-01T00:33:48
-3.113384,-2.223899,2023-01-01T00:33:49
-3.113384,-2.335093,2023-01-01T00:33:50
-3.113384,-2.335093,2023-01-01T00:33:51
-3.113384,-2.335093,2023-01-01T00:33:52
-3.113384,-2.335093,2023-01-01T00:33:53
-3.224576,-2.446288,2023-01-01T00:33:54
-3.224576,-2.446288,2023-01-01T00:33:55
-3.224576,-2.446288,2023-01-01T00:33:56
-3.224576,-2.557483,2023-01-01T00:33:57
-3.224576,-2.557483,2023-01-01T00:33:58
-3.224576,-2.557483,2023-01-01T00:33:59
-3.335768,-2.557483,2023-01-01T00:34:00
-3.335768,-2.668678,2023-01-01T00:34:01
-3.335768,-2.668678,2023-01-01T00:34:02
-3.335768,-2.668678,2023-01-01T00:34:03
-3.335768,-2.779873,2023-01-01T00:34:04
-3.446961,-2.779873,2023-01-01T00:34:05
-3.446961,-2.779873,2023-01-01T00:34:06
-3.446961,-2.779873,2023-01-01T00:34:07
-3.446961,-2.891068,2023-01-01T00:34:08
-3.446961,-2.891068,2023-01-01T00:34:09
-3.558153,-2.891068,2023-01-01T00:34:10
-3.558153,-3.002263,2023-01-01T00:34:11
-3.558153,-3.002263,2023-01-01T00:34:12
-3.558153,-3.002263,2023-01-01T00:34:13
-3.558153,-3.002263,2023-01-01T00:34:14
