x,y,timestamp
0.000000,0.000000,2023-01-01T00:30:53
-0.111192,0.111195,2023-01-01T00:30:54
-0.111192,0.111195,2023-01-01T00:30:55
-0.222385,0.111195,2023-01-01T00:30:56
-0.333577,0.222390,2023-01-01T00:30:57
-0.444769,0.222390,2023-01-01T00:30:58
-0.555961,0.222390,2023-01-01T00:30:59
-0.667154,0.333585,2023-01-01T00:31:00
-0.667154,0.333585,2023-01-01T00:31:01
-0.778346,0.333585,2023-01-01T00:31:02
-0.889538,0.333585,2023-01-01T00:31:03
-1.000731,0.444780,2023-01-01T00:31:04
-1.000731,0.444780,2023-01-01T00:31:05
-1.111923,0.444780,2023-01-01T00:31:06
-1.223115,0.444780,2023-01-01T00:31:07
-1.334307,0.444780,2023-01-01T00:31:08
-1.334307,0.555975,2023-01-01T00:31:09
-1.445500,0.555975,2023-01-01T00:31:10
-1.445500,0.555975,2023-01-01T00:31:11
-1.556692,0.555975,2023-01-01T00:31:12
-1.556692,0.555975,2023-01-01T00:31:13
-1.667884,0.667170,2023-01-01T00:31:14
-1.667884,0.667170,2023-01-01T00:31:15
-1.667884,0.667170,2023-01-01T00:31:16
-1.667884,0.667170,2023-01-01T00:31:17
-1.779076,0.667170,2023-01-01T00:31:18
-1.779076,0.667170,2023-01-01T00:31:19
-1.779076,0.667170,2023-01-01T00:31:20
-1.779076,0.778364,2023-01-01T00:31:21
-1.779076,0.778364,2023-01-01T00:31:22
-1.890269,0.778364,2023-01-01T00:31:23
-1.890269,0.778364,2023-01-01T00:31:24
-1.890269,0.778364,2023-01-01T00:31:25
-1.890269,0.778364,2023-01-01T00:31:26
-1.890269,0.778364,2023-01-01T00:31:27
-1.890269,0.778364,2023-01-01T00:31:28
-2.001461,0.778364,2023-01-01T00:31:29
-2.001461,0.778364,2023-01-01T00:31:30
-2.001461,0.778364,2023-01-01T00:31:31
-2.001461,0.889559,2023-01-01T00:31:32
-2.001461,0.889559,2023-01-01T00:31:33
-2.001461,0.889559,2023-01-01T00:31:34
-2.001461,0.889559,2023-01-01T00:31:35
