x,y,timestamp
0.000000,0.000000,2023-01-01T00:29:11
0.111193,-0.111195,2023-01-01T00:29:12
0.111193,-0.111195,2023-01-01T00:29:13
0.222385,-0.222390,2023-01-01T00:29:14
0.222385,-0.333585,2023-01-01T00:29:15
0.333578,-0.333585,2023-01-01T00:29:16
0.444771,-0.444780,2023-01-01T00:29:17
0.444771,-0.444780,2023-01-01T00:29:18
0.555964,-0.555975,2023-01-01T00:29:19
0.555964,-0.667170,2023-01-01T00:29:20
0.667156,-0.667170,2023-01-01T00:29:21
0.667156,-0.778364,2023-01-01T00:29:22
0.778349,-0.778364,2023-01-01T00:29:23
0.778349,-0.889559,2023-01-01T00:29:24
0.889542,-0.889559,2023-01-01T00:29:25
1.000735,-1.000754,2023-01-01T00:29:26
1.000735,-1.000754,2023-01-01T00:29:27
1.111927,-1.111949,2023-01-01T00:29:28
1.111927,-1.111949,2023-01-01T00:29:29
1.223120,-1.223144,2023-01-01T00:29:30
1.223120,-1.223144,2023-01-01T00:29:31
1.334313,-1.334339,2023-01-01T00:29:32
1.334313,-1.334339,2023-01-01T00:29:33
1.445506,-1.334339,2023-01-01T00:29:34
1.445506,-1.445534,2023-01-01T00:29:35
1.556698,-1.445534,2023-01-01T00:29:36
1.556698,-1.556729,2023-01-01T00:29:37
1.667891,-1.556729,2023-01-01T00:29:38
1.667891,-1.667924,2023-01-01T00:29:39
1.779084,-1.667924,2023-01-01T00:29:40
1.779084,-1.779119,2023-01-01T00:29:41
1.890277,-1.779119,2023-01-01T00:29:42
1.890277,-1.890314,2023-01-01T00:29:43
2.001469,-1.890314,2023-01-01T00:29:44
2.001469,-2.001509,2023-01-01T00:29:45
2.112662,-2.001509,2023-01-01T00:29:46
2.001469,-2.001509,2023-01-01T00:29:47
1.890277,-1.890314,2023-01-01T00:29:48
1.779084,-1.779119,2023-01-01T00:29:49
1.667891,-1.667924,2023-01-01T00:29:50
1.667891,-1.667924,2023-01-01T00:29:51
1.556698,-1.556729,2023-01-01T00:29:52
1.445506,-1.445534,2023-01-01T00:29:53
1.445506,-1.445534,2023-01-01T00:29:54
1.334313,-1.334339,2023-01-01T00:29:55
1.223120,-1.223144,2023-01-01T00:29:56
1.111927,-1.223144,2023-01-01T00:29:57
1.111927,-1.111949,2023-01-01T00:29:58
1.000735,-1.111949,2023-01-01T00:29:59
1.000735,-1.000754,2023-01-01T00:30:00
0.889542,-1.000754,2023-01-01T00:30:01
0.889542,-0.889559,2023-01-01T00:30:02
0.778349,-0.889559,2023-01-01T00:30:03
