x,y,timestamp
0.000000,0.000000,2023-01-01T02:08:15
0.111193,0.222390,2023-01-01T02:08:16
0.111193,0.555975,2023-01-01T02:08:17
0.222386,0.778364,2023-01-01T02:08:18
0.333578,1.000754,2023-01-01T02:08:19
0.333578,1.223144,2023-01-01T02:08:20
0.444771,1.445534,2023-01-01T02:08:21
0.555964,1.667924,2023-01-01T02:08:22
0.555964,1.890314,2023-01-01T02:08:23
0.667157,2.112704,2023-01-01T02:08:24
0.778349,2.335093,2023-01-01T02:08:25
0.778349,2.557483,2023-01-01T02:08:26
0.889542,2.779873,2023-01-01T02:08:27
1.000735,2.891068,2023-01-01T02:08:28
1.111928,3.113458,2023-01-01T02:08:29
1.111928,3.335848,2023-01-01T02:08:30
1.223120,3.558238,2023-01-01T02:08:31
1.334313,3.669433,2023-01-01T02:08:32
1.334313,3.891822,2023-01-01T02:08:33
1.445506,4.114212,2023-01-01T02:08:34
1.556699,4.225407,2023-01-01T02:08:35
1.556699,4.447797,2023-01-01T02:08:36
1.667891,4.670187,2023-01-01T02:08:37
1.779084,4.781382,2023-01-01T02:08:38
1.779084,5.003772,2023-01-01T02:08:39
1.890277,5.114967,2023-01-01T02:08:40
1.667891,5.337356,2023-01-01T02:08:41
1.445506,5.670941,2023-01-01T02:08:42
1.223120,5.893331,2023-01-01T02:08:43
