x,y,timestamp
0.000000,0.000000,2023-01-01T02:08:16
0.111193,0.333585,2023-01-01T02:08:17
0.222386,0.555975,2023-01-01T02:08:18
0.333578,0.889559,2023-01-01T02:08:19
0.333578,1.111949,2023-01-01T02:08:20
0.444771,1.334339,2023-01-01T02:08:21
0.555964,1.556729,2023-01-01T02:08:22
0.667157,1.890314,2023-01-01T02:08:23
0.667157,2.112704,2023-01-01T02:08:24
0.778349,2.335093,2023-01-01T02:08:25
0.889542,2.557483,2023-01-01T02:08:26
1.000735,2.779873,2023-01-01T02:08:27
1.000735,3.002263,2023-01-01T02:08:28
1.111928,3.224653,2023-01-01T02:08:29
1.223120,3.447043,2023-01-01T02:08:30
1.334313,3.669433,2023-01-01T02:08:31
1.445506,3.891822,2023-01-01T02:08:32
1.445506,4.114212,2023-01-01T02:08:33
1.556699,4.336602,2023-01-01T02:08:34
1.667891,4.558992,2023-01-01T02:08:35
1.667891,4.670187,2023-01-01T02:08:36
1.779084,4.892577,2023-01-01T02:08:37
1.890277,5.114967,2023-01-01T02:08:38
1.890277,5.337356,2023-01-01T02:08:39
2.001470,5.448551,2023-01-01T02:08:40
1.779084,5.782136,2023-01-01T02:08:41
1.556699,6.004526,2023-01-01T02:08:42
1.334313,6.226916,2023-01-01T02:08:43
1.111928,6.449306,2023-01-01T02:08:44
0.889542,6.782891,2023-01-01T02:08:45
0.667157,7.005280,2023-01-01T02:08:46
0.444771,7.227670,2023-01-01T02:08:47
0.222386,7.450060,2023-01-01T02:08:48
0.111193,7.672450,2023-01-01T02:08:49
-0.111193,7.894840,2023-01-01T02:08:50
-0.333578,8.117230,2023-01-01T02:08:51
-0.555964,8.228425,2023-01-01T02:08:52
-0.778349,8.450814,2023-01-01T02:08:53
-1.000735,8.673204,2023-01-01T02:08:54
