x,y,timestamp
0.000000,0.000000,2023-01-01T02:06:55
0.000000,0.000000,2023-01-01T02:06:56
0.000000,0.000000,2023-01-01T02:06:57
0.000000,-0.111195,2023-01-01T02:06:58
0.111193,-0.111195,2023-01-01T02:06:59
0.111193,-0.111195,2023-01-01T02:07:00
0.111193,-0.222390,2023-01-01T02:07:01
0.111193,-0.222390,2023-01-01T02:07:02
0.111193,-0.222390,2023-01-01T02:07:03
0.111193,-0.222390,2023-01-01T02:07:04
0.111193,-0.333585,2023-01-01T02:07:05
0.111193,-0.333585,2023-01-01T02:07:06
0.111193,-0.333585,2023-01-01T02:07:07
0.111193,-0.333585,2023-01-01T02:07:08
0.111193,-0.444780,2023-01-01T02:07:09
0.111193,-0.444780,2023-01-01T02:07:10
0.111193,-0.222390,2023-01-01T02:07:11
0.111193,0.000000,2023-01-01T02:07:12
0.111193,0.222390,2023-01-01T02:07:13
0.111193,0.444780,2023-01-01T02:07:14
0.111193,0.555975,2023-01-01T02:07:15
0.111193,0.778364,2023-01-01T02:07:16
0.111193,1.000754,2023-01-01T02:07:17
0.111193,1.223144,2023-01-01T02:07:18
0.111193,1.445534,2023-01-01T02:07:19
0.111193,1.556729,2023-01-01T02:07:20
0.111193,1.779119,2023-01-01T02:07:21
0.111193,2.001509,2023-01-01T02:07:22
0.111193,2.223899,2023-01-01T02:07:23
0.111193,2.446288,2023-01-01T02:07:24
0.000000,2.557483,2023-01-01T02:07:25
0.000000,2.779873,2023-01-01T02:07:26
0.000000,3.002263,2023-01-01T02:07:27
0.000000,3.113458,2023-01-01T02:07:28
0.000000,3.335848,2023-01-01T02:07:29
0.000000,3.558238,2023-01-01T02:07:30
0.000000,3.780628,2023-01-01T02:07:31
0.000000,3.891822,2023-01-01T02:07:32
0.000000,4.114212,2023-01-01T02:07:33
0.000000,4.225407,2023-01-01T02:07:34
0.000000,4.447797,2023-01-01T02:07:35
0.000000,4.670187,2023-01-01T02:07:36
0.000000,4.781382,2023-01-01T02:07:37
0.000000,5.003772,2023-01-01T02:07:38
-0.111193,5.114967,2023-01-01T02:07:39
-0.111193,5.337356,2023-01-01T02:07:40
-0.111193,5.559746,2023-01-01T02:07:41
-0.111193,5.782136,2023-01-01T02:07:42
-0.111193,6.115721,2023-01-01T02:07:43
-0.111193,6.338111,2023-01-01T02:07:44
-0.111193,6.560501,2023-01-01T02:07:45
-0.111193,6.782891,2023-01-01T02:07:46
-0.222386,7.005280,2023-01-01T02:07:47
-0.222386,7.227670,2023-01-01T02:07:48
-0.222386,7.450060,2023-01-01T02:07:49
-0.222386,7.672450,2023-01-01T02:07:50
-0.222386,7.894840,2023-01-01T02:07:51
-0.222386,8.117230,2023-01-01T02:07:52
-0.222386,8.228425,2023-01-01T02:07:53
-0.333578,8.450814,2023-01-01T02:07:54
-0.333578,8.673204,2023-01-01T02:07:55
-0.333578,8.895594,2023-01-01T02:07:56
-0.333578,9.006789,2023-01-01T02:07:57
-0.333578,9.229179,2023-01-01T02:07:58
-0.333578,9.340374,2023-01-01T02:07:59
-0.333578,9.562764,2023-01-01T02:08:00
-0.444771,9.785154,2023-01-01T02:08:01
-0.444771,9.896348,2023-01-01T02:08:02
-0.444771,10.007543,2023-01-01T02:08:03
-0.444771,10.229933,2023-01-01T02:08:04
-0.444771,10.341128,2023-01-01T02:08:05
