x,y,timestamp
0.000000,0.000000,2023-01-01T00:29:11
0.000000,0.000000,2023-01-01T00:29:12
0.111193,0.000000,2023-01-01T00:29:13
0.111193,0.000000,2023-01-01T00:29:14
0.111193,0.000000,2023-01-01T00:29:15
0.111193,0.000000,2023-01-01T00:29:16
0.111193,0.000000,2023-01-01T00:29:17
0.111193,0.000000,2023-01-01T00:29:18
0.111193,0.000000,2023-01-01T00:29:19
0.111193,0.000000,2023-01-01T00:29:20
0.111193,0.000000,2023-01-01T00:29:21
0.111193,0.000000,2023-01-01T00:29:22
0.111193,0.000000,2023-01-01T00:29:23
0.111193,0.000000,2023-01-01T00:29:24
0.111193,0.000000,2023-01-01T00:29:25
0.111193,0.000000,2023-01-01T00:29:26
0.111193,0.000000,2023-01-01T00:29:27
0.111193,0.000000,2023-01-01T00:29:28
0.111193,0.000000,2023-01-01T00:29:29
0.111193,0.000000,2023-01-01T00:29:30
0.111193,0.111195,2023-01-01T00:29:31
0.111193,0.111195,2023-01-01T00:29:32
0.111193,0.111195,2023-01-01T00:29:33
0.111193,0.111195,2023-01-01T00:29:34
0.111193,0.111195,2023-01-01T00:29:35
0.111193,0.111195,2023-01-01T00:29:36
0.111193,0.222390,2023-01-01T00:29:37
0.111193,0.222390,2023-01-01T00:29:38
0.111193,0.222390,2023-01-01T00:29:39
0.111193,0.222390,2023-01-01T00:29:40
0.111193,0.222390,2023-01-01T00:29:41
0.111193,0.222390,2023-01-01T00:29:42
0.111193,0.333585,2023-01-01T00:29:43
0.111193,0.333585,2023-01-01T00:29:44
0.111193,0.333585,2023-01-01T00:29:45
0.000000,0.333585,2023-01-01T00:29:46
0.000000,0.333585,2023-01-01T00:29:47
0.111193,0.333585,2023-01-01T00:29:48
0.111193,0.333585,2023-01-01T00:29:49
0.111193,0.333585,2023-01-01T00:29:50
0.111193,0.333585,2023-01-01T00:29:51
0.111193,0.333585,2023-01-01T00:29:52
0.111193,0.333585,2023-01-01T00:29:53
0.111193,0.333585,2023-01-01T00:29:54
0.111193,0.333585,2023-01-01T00:29:55
0.111193,0.333585,2023-01-01T00:29:56
0.111193,0.333585,2023-01-01T00:29:57
0.111193,0.333585,2023-01-01T00:29:58
0.111193,0.333585,2023-01-01T00:29:59
0.111193,0.222390,2023-01-01T00:30:00
0.111193,0.222390,2023-01-01T00:30:01
0.111193,0.222390,2023-01-01T00:30:02
0.000000,0.222390,2023-01-01T00:30:03
0.000000,0.222390,2023-01-01T00:30:04
0.000000,0.222390,2023-01-01T00:30:05
0.000000,0.222390,2023-01-01T00:30:06
0.000000,0.222390,2023-01-01T00:30:07
0.000000,0.222390,2023-01-01T00:30:08
0.000000,0.222390,2023-01-01T00:30:09
0.000000,0.222390,2023-01-01T00:30:10
0.000000,0.222390,2023-01-01T00:30:11
-0.111193,0.222390,2023-01-01T00:30:12
-0.111193,0.222390,2023-01-01T00:30:13
-0.111193,0.222390,2023-01-01T00:30:14
-0.111193,0.222390,2023-01-01T00:30:15
-0.111193,0.222390,2023-01-01T00:30:16
-0.111193,0.222390,2023-01-01T00:30:17
-0.111193,0.222390,2023-01-01T00:30:18
-0.111193,0.222390,2023-01-01T00:30:19
-0.111193,0.222390,2023-01-01T00:30:20
-0.111193,0.222390,2023-01-01T00:30:21
-0.111193,0.222390,2023-01-01T00:30:22
-0.111193,0.222390,2023-01-01T00:30:23
-0.222385,0.222390,2023-01-01T00:30:24
-0.222385,0.222390,2023-01-01T00:30:25
-0.222385,0.222390,2023-01-01T00:30:26
-0.222385,0.222390,2023-01-01T00:30:27
-0.222385,0.222390,2023-01-01T00:30:28
-0.222385,0.222390,2023-01-01T00:30:29
-0.222385,0.222390,2023-01-01T00:30:30
-0.222385,0.222390,2023-01-01T00:30:31
-0.222385,0.222390,2023-01-01T00:30:32
-0.222385,0.222390,2023-01-01T00:30:33
-0.222385,0.222390,2023-01-01T00:30:34
-0.222385,0.222390,2023-01-01T00:30:35
-0.222385,0.222390,2023-01-01T00:30:36
-0.222385,0.222390,2023-01-01T00:30:37
-0.222385,0.222390,2023-01-01T00:30:38
-0.222385,0.222390,2023-01-01T00:30:39
-0.222385,0.222390,2023-01-01T00:30:40
-0.222385,0.222390,2023-01-01T00:30:41
-0.222385,0.222390,2023-01-01T00:30:42
-0.222385,0.222390,2023-01-01T00:30:43
-0.222385,0.222390,2023-01-01T00:30:44
-0.222385,0.222390,2023-01-01T00:30:45
-0.222385,0.222390,2023-01-01T00:30:46
-0.333578,0.222390,2023-01-01T00:30:47
-0.333578,0.222390,2023-01-01T00:30:48
-0.333578,0.222390,2023-01-01T00:30:49
-0.333578,0.222390,2023-01-01T00:30:50
-0.333578,0.222390,2023-01-01T00:30:51
-0.333578,0.222390,2023-01-01T00:30:52
-0.333578,0.222390,2023-01-01T00:30:53
-0.333578,0.222390,2023-01-01T00:30:54
-0.333578,0.222390,2023-01-01T00:30:55
-0.333578,0.222390,2023-01-01T00:30:56
-0.333578,0.222390,2023-01-01T00:30:57
-0.333578,0.111195,2023-01-01T00:30:58
-0.333578,0.111195,2023-01-01T00:30:59
-0.333578,0.111195,2023-01-01T00:31:00
-0.333578,0.111195,2023-01-01T00:31:01
-0.333578,0.111195,2023-01-01T00:31:02
-0.333578,0.111195,2023-01-01T00:31:03
-0.333578,0.111195,2023-01-01T00:31:04
-0.333578,0.111195,2023-01-01T00:31:05
-0.333578,0.111195,2023-01-01T00:31:06
-0.333578,0.111195,2023-01-01T00:31:07
-0.333578,0.111195,2023-01-01T00:31:08
-0.333578,0.111195,2023-01-01T00:31:09
-0.333578,0.111195,2023-01-01T00:31:10
-0.333578,0.111195,2023-01-01T00:31:11
-0.333578,0.111195,2023-01-01T00:31:12
-0.333578,0.111195,2023-01-01T00:31:13
-0.333578,0.111195,2023-01-01T00:31:14
-0.333578,0.111195,2023-01-01T00:31:15
-0.222385,0.111195,2023-01-01T00:31:16
-0.222385,0.111195,2023-01-01T00:31:17
-0.222385,0.111195,2023-01-01T00:31:18
-0.222385,0.111195,2023-01-01T00:31:19
-0.222385,0.111195,2023-01-01T00:31:20
-0.333578,0.111195,2023-01-01T00:31:21
-0.333578,0.111195,2023-01-01T00:31:22
-0.333578,0.111195,2023-01-01T00:31:23
-0.333578,0.111195,2023-01-01T00:31:24
-0.333578,0.111195,2023-01-01T00:31:25
-0.333578,0.111195,2023-01-01T00:31:26
-0.444771,0.000000,2023-01-01T00:31:27
-0.444771,0.000000,2023-01-01T00:31:28
-0.444771,0.000000,2023-01-01T00:31:29
-0.444771,0.000000,2023-01-01T00:31:30
-0.444771,0.000000,2023-01-01T00:31:31
-0.555964,-0.111195,2023-01-01T00:31:32
-0.555964,-0.111195,2023-01-01T00:31:33
-0.555964,-0.111195,2023-01-01T00:31:34
-0.555964,-0.111195,2023-01-01T00:31:35
-0.555964,-0.111195,2023-01-01T00:31:36
-0.555964,-0.222390,2023-01-01T00:31:37
-0.555964,-0.222390,2023-01-01T00:31:38
-0.667156,-0.222390,2023-01-01T00:31:39
-0.667156,-0.222390,2023-01-01T00:31:40
-0.667156,-0.222390,2023-01-01T00:31:41
-0.667156,-0.222390,2023-01-01T00:31:42
-0.667156,-0.333585,2023-01-01T00:31:43
-0.667156,-0.333585,2023-01-01T00:31:44
-0.667156,-0.333585,2023-01-01T00:31:45
-0.667156,-0.333585,2023-01-01T00:31:46
