lat,lon,timestamp
0.335433,36.870905,2023-01-01T00:32:30
0.335433,36.870905,2023-01-01T00:32:31
0.335433,36.870905,2023-01-01T00:32:32
0.335433,36.870904,2023-01-01T00:32:33
0.335433,36.870904,2023-01-01T00:32:34
0.335433,36.870904,2023-01-01T00:32:35
0.335433,36.870904,2023-01-01T00:32:36
0.335432,36.870903,2023-01-01T00:32:37
0.335432,36.870903,2023-01-01T00:32:38
0.335432,36.870903,2023-01-01T00:32:39
0.335432,36.870902,2023-01-01T00:32:40
0.335432,36.870902,2023-01-01T00:32:41
0.335432,36.870902,2023-01-01T00:32:42
0.335432,36.870901,2023-01-01T00:32:43
0.335431,36.870901,2023-01-01T00:32:44
0.335431,36.870901,2023-01-01T00:32:45
0.335431,36.8709,2023-01-01T00:32:46
0.335431,36.8709,2023-01-01T00:32:47
0.335431,36.8709,2023-01-01T00:32:48
0.335431,36.870899,2023-01-01T00:32:49
0.335431,36.870899,2023-01-01T00:32:50
0.33543,36.870899,2023-01-01T00:32:51
0.33543,36.870898,2023-01-01T00:32:52
0.33543,36.870898,2023-01-01T00:32:53
0.33543,36.870898,2023-01-01T00:32:54
0.33543,36.870898,2023-01-01T00:32:55
0.33543,36.870897,2023-01-01T00:32:56
0.335429,36.870897,2023-01-01T00:32:57
0.335429,36.870897,2023-01-01T00:32:58
0.335429,36.870896,2023-01-01T00:32:59
0.335429,36.870896,2023-01-01T00:33:00
0.335429,36.870896,2023-01-01T00:33:01
0.335429,36.870895,2023-01-01T00:33:02
0.335429,36.870895,2023-01-01T00:33:03
0.335428,36.870895,2023-01-01T00:33:04
0.335428,36.870895,2023-01-01T00:33:05
0.335428,36.870894,2023-01-01T00:33:06
0.335428,36.870894,2023-01-01T00:33:07
0.335428,36.870894,2023-01-01T00:33:08
0.335428,36.870893,2023-01-01T00:33:09
0.335428,36.870893,2023-01-01T00:33:10
0.335427,36.870893,2023-01-01T00:33:11
0.335427,36.870893,2023-01-01T00:33:12
0.335427,36.870892,2023-01-01T00:33:13
0.335427,36.870892,2023-01-01T00:33:14
0.335427,36.870892,2023-01-01T00:33:15
0.335427,36.870892,2023-01-01T00:33:16
0.335427,36.870891,2023-01-01T00:33:17
0.335426,36.870891,2023-01-01T00:33:18
0.335426,36.870891,2023-01-01T00:33:19
0.335426,36.87089,2023-01-01T00:33:20
0.335426,36.87089,2023-01-01T00:33:21
0.335426,36.87089,2023-01-01T00:33:22
0.335426,36.87089,2023-01-01T00:33:23
0.335425,36.87089,2023-01-01T00:33:24
0.335425,36.870889,2023-01-01T00:33:25
0.335425,36.870889,2023-01-01T00:33:26
0.335425,36.870889,2023-01-01T00:33:27
0.335425,36.870889,2023-01-01T00:33:28
0.335425,36.870888,2023-01-01T00:33:29
0.335424,36.870888,2023-01-01T00:33:30
0.335424,36.870888,2023-01-01T00:33:31
0.335424,36.870888,2023-01-01T00:33:32
0.335424,36.870887,2023-01-01T00:33:33
0.335424,36.870887,2023-01-01T00:33:34
0.335423,36.870887,2023-01-01T00:33:35
0.335423,36.870887,2023-01-01T00:33:36
0.335423,36.870887,2023-01-01T00:33:37
0.335422,36.870886,2023-01-01T00:33:38
0.335422,36.870886,2023-01-01T00:33:39
0.335422,36.870886,2023-01-01T00:33:40
0.335422,36.870886,2023-01-01T00:33:41
0.335421,36.870885,2023-01-01T00:33:42
0.335421,36.870885,2023-01-01T00:33:43
0.335421,36.870885,2023-01-01T00:33:44
0.33542,36.870885,2023-01-01T00:33:45
0.33542,36.870884,2023-01-01T00:33:46
0.33542,36.870884,2023-01-01T00:33:47
0.33542,36.870884,2023-01-01T00:33:48
0.335419,36.870884,2023-01-01T00:33:49
0.335419,36.870883,2023-01-01T00:33:50
0.335419,36.870883,2023-01-01T00:33:51
0.335418,36.870883,2023-01-01T00:33:52
0.335418,36.870883,2023-01-01T00:33:53
0.335418,36.870882,2023-01-01T00:33:54
0.335418,36.870882,2023-01-01T00:33:55
0.335417,36.870882,2023-01-01T00:33:56
0.335417,36.870882,2023-01-01T00:33:57
0.335417,36.870882,2023-01-01T00:33:58
0.335417,36.870881,2023-01-01T00:33:59
0.335416,36.870881,2023-01-01T00:34:00
0.335416,36.870881,2023-01-01T00:34:01
0.335416,36.870881,2023-01-01T00:34:02
0.335416,36.87088,2023-01-01T00:34:03
0.335415,36.87088,2023-01-01T00:34:04
0.335415,36.87088,2023-01-01T00:34:05
0.335415,36.87088,2023-01-01T00:34:06
0.335415,36.870879,2023-01-01T00:34:07
0.335414,36.870879,2023-01-01T00:34:08
0.335414,36.870879,2023-01-01T00:34:09
0.335414,36.870879,2023-01-01T00:34:10
0.335414,36.870878,2023-01-01T00:34:11
0.335413,36.870878,2023-01-01T00:34:12
0.335413,36.870878,2023-01-01T00:34:13
0.335413,36.870878,2023-01-01T00:34:14
0.335413,36.870877,2023-01-01T00:34:15
0.335413,36.870877,2023-01-01T00:34:16
0.335412,36.870877,2023-01-01T00:34:17
0.335412,36.870877,2023-01-01T00:34:18
0.335412,36.870877,2023-01-01T00:34:19
0.335412,36.870876,2023-01-01T00:34:20
0.335411,36.870876,2023-01-01T00:34:21
0.335411,36.870876,2023-01-01T00:34:22
0.335411,36.870876,2023-01-01T00:34:23
0.335411,36.870875,2023-01-01T00:34:24
0.335411,36.870875,2023-01-01T00:34:25
0.33541,36.870875,2023-01-01T00:34:26
0.33541,36.870875,2023-01-01T00:34:27
0.33541,36.870874,2023-01-01T00:34:28
0.33541,36.870874,2023-01-01T00:34:29
0.33541,36.870874,2023-01-01T00:34:30
0.33541,36.870873,2023-01-01T00:34:31
0.335409,36.870873,2023-01-01T00:34:32
0.335409,36.870873,2023-01-01T00:34:33
0.335409,36.870872,2023-01-01T00:34:34
0.335409,36.870872,2023-01-01T00:34:35
0.335409,36.870872,2023-01-01T00:34:36
0.335408,36.870871,2023-01-01T00:34:37
0.335408,36.870871,2023-01-01T00:34:38
0.335408,36.870871,2023-01-01T00:34:39
0.335408,36.87087,2023-01-01T00:34:40
0.335407,36.87087,2023-01-01T00:34:41
0.335407,36.87087,2023-01-01T00:34:42
0.335407,36.87087,2023-01-01T00:34:43
0.335407,36.870869,2023-01-01T00:34:44
0.335406,36.870869,2023-01-01T00:34:45
0.335406,36.870869,2023-01-01T00:34:46
0.335406,36.870869,2023-01-01T00:34:47
0.335406,36.870868,2023-01-01T00:34:48
0.335405,36.870868,2023-01-01T00:34:49
0.335405,36.870868,2023-01-01T00:34:50
0.335405,36.870868,2023-01-01T00:34:51
0.335405,36.870867,2023-01-01T00:34:52
0.335404,36.870867,2023-01-01T00:34:53
0.335404,36.870867,2023-01-01T00:34:54
0.335404,36.870867,2023-01-01T00:34:55
0.335404,36.870866,2023-01-01T00:34:56
0.335404,36.870866,2023-01-01T00:34:57
0.335403,36.870866,2023-01-01T00:34:58
0.335403,36.870865,2023-01-01T00:34:59
0.335403,36.870865,2023-01-01T00:35:00
0.335403,36.870865,2023-01-01T00:35:01
0.335403,36.870864,2023-01-01T00:35:02
0.335402,36.870864,2023-01-01T00:35:03
0.335402,36.870864,2023-01-01T00:35:04
0.335402,36.870863,2023-01-01T00:35:05
0.335402,36.870863,2023-01-01T00:35:06
0.335402,36.870863,2023-01-01T00:35:07
0.335402,36.870863,2023-01-01T00:35:08
0.335402,36.870862,2023-01-01T00:35:09
