lat,lon,timestamp
0.394973,36.886315,2023-01-01T08:00:05
0.394973,36.886315,2023-01-01T08:00:06
0.394973,36.886315,2023-01-01T08:00:07
0.394974,36.886315,2023-01-01T08:00:08
0.394974,36.886315,2023-01-01T08:00:09
0.394974,36.886315,2023-01-01T08:00:10
0.394974,36.886315,2023-01-01T08:00:11
0.394975,36.886315,2023-01-01T08:00:12
0.394975,36.886315,2023-01-01T08:00:13
0.394975,36.886315,2023-01-01T08:00:14
0.394975,36.886314,2023-01-01T08:00:15
0.394975,36.886314,2023-01-01T08:00:16
0.394976,36.886314,2023-01-01T08:00:17
0.394976,36.886314,2023-01-01T08:00:18
0.394976,36.886314,2023-01-01T08:00:19
0.394977,36.886314,2023-01-01T08:00:20
0.394977,36.886314,2023-01-01T08:00:21
0.394977,36.886314,2023-01-01T08:00:22
0.394977,36.886314,2023-01-01T08:00:23
0.394978,36.886314,2023-01-01T08:00:24
0.394978,36.886314,2023-01-01T08:00:25
0.394978,36.886314,2023-01-01T08:00:26
0.394979,36.886314,2023-01-01T08:00:27
0.394979,36.886314,2023-01-01T08:00:28
0.394979,36.886314,2023-01-01T08:00:29
0.394979,36.886314,2023-01-01T08:00:30
0.39498,36.886314,2023-01-01T08:00:31
0.39498,36.886314,2023-01-01T08:00:32
0.39498,36.886314,2023-01-01T08:00:33
0.39498,36.886314,2023-01-01T08:00:34
0.394981,36.886314,2023-01-01T08:00:35
0.394981,36.886314,2023-01-01T08:00:36
0.394981,36.886314,2023-01-01T08:00:37
0.394981,36.886314,2023-01-01T08:00:38
0.394981,36.886314,2023-01-01T08:00:39
0.394982,36.886314,2023-01-01T08:00:40
0.394982,36.886314,2023-01-01T08:00:41
0.394982,36.886314,2023-01-01T08:00:42
0.394982,36.886314,2023-01-01T08:00:43
0.394982,36.886314,2023-01-01T08:00:44
0.394982,36.886314,2023-01-01T08:00:45
0.394982,36.886314,2023-01-01T08:00:46
0.394982,36.886313,2023-01-01T08:00:47
0.394983,36.886313,2023-01-01T08:00:48
0.394983,36.886313,2023-01-01T08:00:49
0.394983,36.886313,2023-01-01T08:00:50
0.394983,36.886313,2023-01-01T08:00:51
0.394983,36.886313,2023-01-01T08:00:52
0.394983,36.886313,2023-01-01T08:00:53
0.394983,36.886313,2023-01-01T08:00:54
0.394983,36.886313,2023-01-01T08:00:55
0.394984,36.886313,2023-01-01T08:00:56
0.394984,36.886313,2023-01-01T08:00:57
0.394984,36.886313,2023-01-01T08:00:58
0.394984,36.886313,2023-01-01T08:00:59
0.394984,36.886313,2023-01-01T08:01:00
0.394984,36.886313,2023-01-01T08:01:01
